Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,B0,E
Membre_Ecoli_Strain9,meta,,-1.1026377549042106,-10.16967605724906,0.8228468581084948,7.266124662139412e-5,1.0260008827158067,0.8228468581084948
Membre_Bcereus_Strain1,meta,,-1.0849253286748561,-10.13193056912246,0.7372521564732001,7.994111567816687e-5,1.095781574127149,0.7372521564732001
Membre_Bcereus_Strain2,meta,,-0.8167246153256817,-9.789842165996646,0.8925695538225126,7.734235816822875e-5,1.0716288915563439,0.8925695538225126
Membre_Bcereus_Strain3,meta,,-1.2096265251544382,-10.069851006905296,0.8746042664907211,7.015273479840199e-5,1.0003245332304223,0.8746042664907211
Membre_Bcereus_Strain6,meta,,-1.2105693071848045,-9.7190015773854,1.1744358908554902,7.02025929946899e-5,1.0008437525715161,1.1744358908554902
Membre_Lmonocytogenes_strain12or13,meta,,-0.9147682243810701,-10.102624214041489,0.7569594784302391,6.502331340532924e-5,0.9448338086861933,0.7569594784302391
Har_vallismortis,meta,,-0.35390046823590815,-10.102473705574656,0.3329870570079767,4.410713367930126e-5,0.6611829716971237,0.3329870570079767
Hbl_gomorrense,meta,,-0.34773326300380936,-10.005501221631176,0.38429082503951156,4.2532571567110704e-5,0.6346165027627533,0.38429082503951156
Hcc_morrhuae,meta,,-0.3290426912678903,-10.007937773455527,0.33920720100926693,4.433545592999096e-5,0.6649563550972725,0.33920720100926693
Hfx_volcanii(DS70),meta,,-0.3533004844256494,-9.953544720797971,0.40930763645889395,4.17157562665188e-5,0.6204448870823535,0.40930763645889395
Hgm_borinquense,meta,,-0.33850981770971145,-9.990581809630708,0.38700426087160433,4.1991671095023504e-5,0.6252627651307363,0.38700426087160433
Hrr_saccharovorum,meta,,-0.32764959350283196,-10.05187598754488,0.40536703532747476,3.7175091161476346e-5,0.5362246828733358,0.40536703532747476
Htg_turkmenica,meta,,-0.29569143420835114,-9.854445855904556,0.3303200236992016,4.846717988817186e-5,0.7300744020052569,0.3303200236992016
Nab_asiatica,meta,,-0.32908384578572064,-10.00041846275688,0.3855839778217711,4.109909831597003e-5,0.6095609179437701,0.3855839778217711
Nnm_pellirubrum,meta,,-0.29921088829493814,-9.978591969246109,0.3254304173176086,4.330387585349631e-5,0.6477508617578014,0.3254304173176086
Nbt_gregoryi,meta,,-0.3666279140566368,-10.11672115572968,0.409239099783522,3.756711550489579e-5,0.543891132495692,0.409239099783522
Ncc_occultus,meta,,-0.3830933267671081,-10.262380713609021,0.6083503407991951,2.5398035773660774e-5,0.2578045313161914,0.6083503407991951
Nmn_pharaonis,meta,,-0.4645785498923394,-10.421840035762175,0.5774531194596045,2.373180135488418e-5,0.20821379521678648,0.5774531194596045
Nrr_bangense,meta,,-0.4352558101645996,-10.398357049555763,0.508647559270572,2.6448471718768086e-5,0.28742232380075056,0.508647559270572
Knoblauch1999_LSv54_growth,meta,,-0.7322958126758164,-11.397650468160423,0.4161294831415823,7.67e-6,-0.6172521816870038,0.4161294831415823
TS,meta,,-0.5734506959228471,-10.40239063463016,0.5710891341502494,3.0377447384269853e-5,0.38864306831845713,0.5710891341502494
TS_ASW,meta,,-0.5366681313508151,-9.674404368932288,0.45604823736599776,5.82e-5,0.8638142089098563,0.45604823736599776
TS_04MNaCl,meta,,-0.5052534946549205,-9.992584053393557,0.4740041522225176,4.45e-5,0.6676636750229232,0.4740041522225176
Xylella,meta,,-2.0637046114168585,-13.579947057784127,1.3747733247077152,4.279651910969405e-6,-1.0436481247932594,1.3747733247077152
Erwinia,meta,,-1.0585373661775481,-10.423415834020554,0.702332097449568,4.5537860388486695e-5,0.6845127549278263,0.702332097449568
ACAM32,meta,,-1.0712377946935776,-14.197676832952757,1.1132121740189063,8.338203843257691e-7,-2.2389914591662317,1.1132121740189063
ACAM34,meta,,-0.8481602158724165,-13.96708650146938,0.894159590893876,9.563881333452825e-7,-2.1387619166859357,0.894159590893876
L_m_ScottA_Run1,meta,,-0.7424559986166541,-10.027742952915032,0.5970391961800997,5.983702475139933e-5,0.8840867421710639,0.5970391961800997
L_m_ScottA_Run2,meta,,-0.9999347640289707,-10.119768977195326,0.7122419828419561,6.421597207757193e-5,0.9357029532102672,0.7122419828419561
L_m_ScottA_Run3,meta,,-0.9912664882043181,-10.097540783684247,0.7042872735981647,6.447072102218919e-5,0.9385964466573795,0.7042872735981647
L_m_ScottA_Run4,meta,,-0.8707049688152233,-10.054312438511745,0.6807675969304013,6.368162022935381e-5,0.9295961959539976,0.6807675969304013
L_m_ScottA_Run5,meta,,-0.9189258890225115,-10.093936091527059,0.690044096186052,6.145003020879883e-5,0.9035264697675846,0.690044096186052
G_punicea_ACAM611,meta,,-0.5849299330501765,-10.401317150076267,0.5674062848732867,3.12e-5,0.40816896659730284,0.5674062848732867
